grid_id,zone,zone_source,osm_industrial_share,coj_industrial_matches,coj_residential_matches,coj_evidence_n,coj_industrial_purity
JNB0001,residential,residential_fallback,0.0,0,0,0,0.0
JNB0002,residential,residential_fallback,0.0,0,0,0,0.0
JNB0003,residential,residential_fallback,0.0,0,0,0,0.0
JNB0004,residential,residential_fallback,0.0,0,0,0,0.0
JNB0005,residential,residential_fallback,0.0,0,0,0,0.0
JNB0006,residential,residential_fallback,0.0,0,0,0,0.0
JNB0007,residential,residential_fallback,0.0,0,0,0,0.0
JNB0008,residential,residential_fallback,0.0,0,0,0,0.0
JNB0009,residential,residential_fallback,0.0001291629866687819,0,0,0,0.0
JNB0010,residential,residential_fallback,0.0,0,0,0,0.0
JNB0011,residential,residential_fallback,0.02739280099018167,0,0,0,0.0
JNB0012,residential,residential_fallback,0.0,0,0,0,0.0
JNB0013,residential,residential_fallback,0.0,0,0,0,0.0
JNB0014,industrial,osm_industrial_share_ge_0.03,0.14957089887641767,11,3,14,0.7857142857142857
JNB0015,industrial,osm_industrial_share_ge_0.03,0.8923265195798914,54,0,54,1.0
JNB0016,industrial,osm_industrial_share_ge_0.03,0.1080948528804747,0,0,0,0.0
JNB0017,residential,residential_fallback,0.028165987717660084,0,0,0,0.0
JNB0018,residential,residential_fallback,0.0,0,0,0,0.0
JNB0019,residential,residential_fallback,0.0,0,0,0,0.0
JNB0020,residential,residential_fallback,0.0,0,0,0,0.0
JNB0021,residential,residential_fallback,0.0,0,0,0,0.0
JNB0022,residential,residential_fallback,0.0,0,0,0,0.0
JNB0023,residential,residential_fallback,0.0,0,0,0,0.0
JNB0024,residential,residential_fallback,0.0,0,5,5,0.0
JNB0025,industrial,osm_industrial_share_ge_0.03,0.4513913898701861,0,12,12,0.0
JNB0026,industrial,osm_industrial_share_ge_0.03,0.31002720468271816,0,6,6,0.0
JNB0027,residential,residential_fallback,0.00015516202754807597,0,0,0,0.0
JNB0028,residential,residential_fallback,0.0,0,0,0,0.0
JNB0029,residential,residential_fallback,0.0,0,0,0,0.0
JNB0030,residential,residential_fallback,0.0,0,0,0,0.0
JNB0031,residential,residential_fallback,0.0,0,0,0,0.0
JNB0032,residential,residential_fallback,0.0,0,0,0,0.0
JNB0033,residential,residential_fallback,0.0,0,0,0,0.0
JNB0034,residential,residential_fallback,0.0,0,0,0,0.0
JNB0035,residential,residential_fallback,0.0,0,0,0,0.0
JNB0036,residential,residential_fallback,0.0,0,0,0,0.0
JNB0037,residential,residential_fallback,0.005135327803026318,0,62,62,0.0
JNB0038,residential,residential_fallback,0.0,0,10,10,0.0
JNB0039,residential,residential_fallback,0.0,0,0,0,0.0
JNB0040,residential,residential_fallback,0.0,0,0,0,0.0
JNB0041,residential,residential_fallback,0.0,0,0,0,0.0
JNB0042,residential,residential_fallback,0.0,0,0,0,0.0
JNB0043,industrial,osm_industrial_share_ge_0.03,0.05171223320253851,0,0,0,0.0
JNB0044,industrial,osm_industrial_share_ge_0.03,0.27830865913772923,0,0,0,0.0
JNB0045,residential,residential_fallback,0.0,0,0,0,0.0
JNB0046,residential,residential_fallback,0.0,0,0,0,0.0
JNB0047,residential,residential_fallback,0.0,0,0,0,0.0
JNB0048,residential,residential_fallback,0.0,0,0,0,0.0
JNB0049,residential,residential_fallback,0.0,0,9,9,0.0
JNB0050,residential,residential_fallback,0.0,0,142,142,0.0
JNB0051,residential,residential_fallback,0.0,0,14,14,0.0
