anchor_id,chip_id,grid_id,region_key,source_feature_id,centroid_lon,centroid_lat,source_area_m2,area_bucket,zone,zone_source,sample_stage,b0_bridge,selection_hash
jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00023240,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_c0006253,JNB0135,johannesburg,23239,28.0334088406,-26.1843185718,4.4707,a_xs_lt15,cbd,cbd25_spatial_crosswalk,stage1_core,False,00506464b31e38e9dd3a54649e76d8fd05f5d3e9498d62b3175acec627d15279
jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00023280,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_c0006163,JNB0135,johannesburg,23279,28.0315577461,-26.1850658916,9.4102,a_xs_lt15,cbd,cbd25_spatial_crosswalk,stage1_core,False,044dac17263e6f376cb46ca57d46ce9d0736dedd205b0b32d8c2bb84b99dc33c
jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00025292,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_c0005504,JNB0158,johannesburg,25291,28.0304873888,-26.1920506961,3.9878,a_xs_lt15,cbd,cbd25_spatial_crosswalk,stage1_core,False,0497faf10a284943171e3c518d9c1df8ba2640b003d541b75aac1045e25a1d10
jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00028753,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_c0004228,JNB0208,johannesburg,28752,28.0452646570,-26.2110000863,14.5445,a_xs_lt15,cbd,cbd25_spatial_crosswalk,stage1_core,False,04f8d2e18e3bb539e701870e558dd1af099a83f2bf604d94f0d7cf6bfce1da46
jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00029496,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_c0003912,JNB0231,johannesburg,29495,28.0355455417,-26.2202528455,6.4989,a_xs_lt15,cbd,cbd25_spatial_crosswalk,stage1_core,False,06596b73b1d18d974dc6205d704d1293ad8bdfc942477e352dab2dc0dda84b4f
jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00022808,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_c0006449,JNB0133,johannesburg,22807,28.0143991308,-26.1828730448,7.1997,a_xs_lt15,cbd,cbd25_spatial_crosswalk,stage1_core,False,06d04388238bb92a62568e42e8be4049816069320caa7fa5971f0e77701c375c
jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00027384,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_c0004573,JNB0181,johannesburg,27383,28.0133804017,-26.2046621694,10.0321,a_xs_lt15,cbd,cbd25_spatial_crosswalk,stage1_core,False,076a1a6569d9a2d949ecb20ba0a8c53755fd45c97677a8ad3c69d51acb5141fe
jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00023228,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_c0006250,JNB0135,johannesburg,23227,28.0333624240,-26.1842424105,7.615,a_xs_lt15,cbd,cbd25_spatial_crosswalk,stage1_core,False,07b1ab759293ce40b42feba9cd68584e6384790b4b4ac10c7f341879bc90a123
jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00023111,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_c0006154,JNB0134,johannesburg,23110,28.0304181298,-26.1852565153,9.7898,a_xs_lt15,cbd,cbd25_spatial_crosswalk,stage1_core,False,07ff7cfcecb0e992f7afa4deea112ed21df716763eea2b06a28f450bcaffaea3
jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00029296,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_c0004040,JNB0229,johannesburg,29295,28.0130799091,-26.2164386328,10.2086,a_xs_lt15,cbd,cbd25_spatial_crosswalk,stage1_core,False,089b6fffbf45bd54fa65c072156946601fb8e3fd8f7525e74b34c5a67c3ccc81
jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00023116,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_c0006153,JNB0134,johannesburg,23115,28.0300379224,-26.1852735313,9.0574,a_xs_lt15,cbd,cbd25_spatial_crosswalk,stage1_core,False,08d098b80329ae9f079c8b2af6655713374606e5b087128d4a8fc8d525509e68
jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00022952,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_c0006660,JNB0134,johannesburg,22951,28.0244578487,-26.1811963489,5.4178,a_xs_lt15,cbd,cbd25_spatial_crosswalk,stage1_core,False,09ab699f73576ca3a35ac3267d7b3927076141ec76096bda727042fa96c39ec8
jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00025377,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_c0005669,JNB0159,johannesburg,25376,28.0350308514,-26.1905661221,8.3153,a_xs_lt15,cbd,cbd25_spatial_crosswalk,stage1_core,False,0b37d6b98d80bf603a8b7138f19e128ae870cceccaa6ee93f114638efb345a09
jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00027619,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_c0004531,JNB0183,johannesburg,27618,28.0347581548,-26.2054037076,6.8443,a_xs_lt15,cbd,cbd25_spatial_crosswalk,stage1_core,False,0cfd4dc4e3126e2d5328741eef9d826da53cbcfe73ea05b3eb2f1d2520717b65
jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00023208,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_c0006363,JNB0135,johannesburg,23207,28.0334545407,-26.1838964321,6.1456,a_xs_lt15,cbd,cbd25_spatial_crosswalk,stage1_core,False,0d5dcb41e03e1a3220eb02a8cc693b6d6e8aef37e2ea9ae7faca721cb44bd494
jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00023113,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_c0006155,JNB0134,johannesburg,23112,28.0304188182,-26.1851747469,9.7675,a_xs_lt15,cbd,cbd25_spatial_crosswalk,stage1_core,False,0d9283ef50ba89786fa193752d4ff9d365d24f7657814a51a4a6d3c01354188a
jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00022867,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_c0006771,JNB0133,johannesburg,22866,28.0191892786,-26.1798380255,8.4864,a_xs_lt15,cbd,cbd25_spatial_crosswalk,stage1_core,False,0e2d4e697d297ed57f9303de5cf4a47808f756c882ae3bff7920c3a7fa950a24
jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00029382,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_c0003911,JNB0229,johannesburg,29381,28.0192818017,-26.2209365553,9.8776,a_xs_lt15,cbd,cbd25_spatial_crosswalk,stage1_core,False,0f840d89c7c5b8170170fcff9e7fb78234b0d0d04ebe90124b4d5ea0b30b0076
jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00028674,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_c0004217,JNB0207,johannesburg,28673,28.0388915674,-26.2115993415,10.848,a_xs_lt15,cbd,cbd25_spatial_crosswalk,stage1_core,False,1021b466ca8039ba7d4750eb09b319aa24af55a2be587e1c9727b196c3ab9c05
jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00028812,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_c0004383,JNB0209,johannesburg,28811,28.0538181842,-26.2087875450,7.9601,a_xs_lt15,cbd,cbd25_spatial_crosswalk,stage1_core,False,10ba0e36d9bb584dcac46ea322d01aa0d059f11ec286dcedeb8e691b282f1130
jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00023387,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_c0006575,JNB0136,johannesburg,23386,28.0480469951,-26.1813207777,7.9861,a_xs_lt15,cbd,cbd25_spatial_crosswalk,stage1_core,False,11e52751733e7267abd7317488cec1ba39e84e31006639e19c1fe096086c66d3
jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00027428,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_c0004483,JNB0181,johannesburg,27427,28.0202036624,-26.2064806029,9.0719,a_xs_lt15,cbd,cbd25_spatial_crosswalk,stage1_core,False,12880034188f7416daf69e6a44a997330d5ed72bdca025a951bf4c434f6f3d2b
jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00028611,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_c0004100,JNB0207,johannesburg,28610,28.0357529571,-26.2157023569,12.3203,a_xs_lt15,cbd,cbd25_spatial_crosswalk,stage1_core,False,1324cd2d107112c661690fc50796674868aabbe67206074bfd34298e1c843b7a
jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00022789,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_c0006765,JNB0133,johannesburg,22788,28.0146624695,-26.1806325602,6.3692,a_xs_lt15,cbd,cbd25_spatial_crosswalk,stage1_core,False,141abe16d99073821236c3affc7a4f1afda62883eeb7ed0fd8550e0105412b49
