anchor_id,chip_id,grid_id,region_key,source_feature_id,centroid_lon,centroid_lat,source_area_m2,area_bucket,zone,zone_source,sample_stage,b0_bridge,selection_hash,legacy_group_anchor_id,source_grid,target_index,target_label,target_offset_x_m,target_offset_y_m,search_radius_m,chip_half_m,chip_size_m,chip_lon_min,chip_lat_min,chip_lon_max,chip_lat_max
jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00005220,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00005220,JNB0053,johannesburg,5219,28.1150418098,-26.1422679226,15.9655,b_sm_15_40,residential,residential_fallback,stage1_core,True,f0d04cbc2345e396cc38022a20a5196fb3078228f62441d3dafd8141bc7e01a6,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_c0012929,JNB0053,1,T01,0.0,0.0,10.0,48.0,96.0,28.114565809321405,-26.142704980421225,28.115517806734697,-26.141830863294178
jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00015602,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00015602,JNB0092,johannesburg,15601,28.0309045699,-26.1636257125,16.933,b_sm_15_40,residential,residential_fallback,stage1_core,True,e51698831881397bf1fdef6941fe1049e9c74b40f69fa0cfd0e781172a7ed78a,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_c0009396,JNB0092,1,T01,0.0,0.0,10.0,48.0,96.0,28.030428161677754,-26.164062503217735,28.031380974573963,-26.163188920285428
jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00022788,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00022788,JNB0133,johannesburg,22787,28.01313275,-26.1808283743,28.0717,b_sm_15_40,cbd,cbd25_spatial_crosswalk,stage1_core,False,0082f7735155c31ae4998a5be92fd9275bd9dda5f92c9e755d0f73725f7a036c,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_c0006650,JNB0133,1,T01,0.0,0.0,10.0,48.0,96.0,28.012656205784214,-26.181265109176593,28.013609290664224,-26.180391637923094
jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00023240,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00023240,JNB0135,johannesburg,23239,28.0334088406,-26.1843185718,4.4707,a_xs_lt15,cbd,cbd25_spatial_crosswalk,stage1_core,False,00506464b31e38e9dd3a54649e76d8fd05f5d3e9498d62b3175acec627d15279,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_c0006253,JNB0135,1,T01,0.0,0.0,10.0,48.0,96.0,28.032932360703228,-26.184755371804247,28.033885316944644,-26.183881770297795
jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00023280,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00023280,JNB0135,johannesburg,23279,28.0315577461,-26.1850658916,9.4102,a_xs_lt15,cbd,cbd25_spatial_crosswalk,stage1_core,False,044dac17263e6f376cb46ca57d46ce9d0736dedd205b0b32d8c2bb84b99dc33c,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_c0006163,JNB0135,1,T01,0.0,0.0,10.0,48.0,96.0,28.03108125613669,-26.185502685725574,28.03203423251103,-26.184629095976167
jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00025667,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00025667,JNB0165,johannesburg,25666,28.0950295995,-26.1969225761,8.3102,a_xs_lt15,residential,residential_fallback,stage1_core,True,995d8e1c12049299a01b8a0e84795ade3f831402a9e5709339bf2210fb49e51e,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_c0005115,JNB0165,1,T01,0.0,0.0,10.0,48.0,96.0,28.094553307732685,-26.197359573935515,28.095505887713113,-26.196485576773508
jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00027185,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00027185,JNB0177,johannesburg,27184,27.9780410366,-26.2060668725,319.415,d_lg_ge100,industrial,coj_zoning_industrial_n3_purity_ge_0.70,stage1_core,False,124923e9aeee424afd82de9a591e221a058cfa7a61555386f631a5eb0e4e2d38,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_c0004476,JNB0177,1,T01,0.0,0.0,10.0,48.0,96.0,27.97756425795844,-26.206503496295152,27.97851781168513,-26.20563024719828
jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00028219,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00028219,JNB0192,johannesburg,28218,28.1212166004,-26.2061492225,9.7734,a_xs_lt15,industrial,osm_industrial_share_ge_0.03,stage1_core,False,09aec3625a62110f4e9244bf0f2fc41a39409f0f2979513db24628db4578a5b5,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_c0004463,JNB0192,1,T01,0.0,0.0,10.0,48.0,96.0,28.120740373639784,-26.206586304588356,28.121692823604423,-26.205712138923374
jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00028528,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00028528,JNB0205,johannesburg,28527,28.0181483673,-26.2120284812,54.4353,c_md_40_100,cbd,cbd25_spatial_crosswalk,stage1_core,False,30186f39d67e3a0c6419a785291b7824f5286122d76871d52f4844e316435681,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_c0004178,JNB0205,1,T01,0.0,0.0,10.0,48.0,96.0,28.017671719559626,-26.21246523400665,28.018625011483007,-26.2115917268915
jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00028570,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00028570,JNB0207,johannesburg,28569,28.0328474622,-26.2133168712,109.4181,d_lg_ge100,cbd,cbd25_spatial_crosswalk,stage1_core,False,1e11e15b8a938572db569f373a5d5f86d16adda0ddb447dba21e4779acdf1b74,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_c0004157,JNB0207,1,T01,0.0,0.0,10.0,48.0,96.0,28.03237086604099,-26.213753671193693,28.033324054801465,-26.21288006970623
